source,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1016/j.ssi.2017.11.027,7.05,2.95,2,0,0.05,0,,8.59E-06,-5.066006836,0,La site,,Ca,,0,0,0,0,0,0,0,0,0,126,2,1,40.078,20,6.09,2.37,194,126,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2017.11.027,7.02,2.98,2,0,0.02,0,,7.09E-06,-5.149353765,0,La site,,Ca,,0,0,0,0,0,0,0,0,0,126,2,1,40.078,20,6.09,2.37,194,126,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2012.12.076,6.4,2.4,2,0,0.6,0,96,1.26E-05,-4.899629455,0,La site,,Ce,,0,0,0,0,0,0,0,0,0,111,3,1.12,140.1157,58,6.91,55,158,111,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2012.12.076,6.6,2.6,2,0,0.4,0,96,1.44E-05,-4.841637508,0,La site,,Ce,,0,0,0,0,0,0,0,0,0,111,3,1.12,140.1157,58,6.91,55,158,111,0,0,0,0,0,0,0,0,0
10.1021/acsami.7b00614,6.5,2.8,2,0.3,0.2,0,94.3,0.00116,-2.935542011,1,Combined,Ga,Rb,,61,3,1.81,69.723,31,5.97,29.061,136,62,175,1,0.82,85.4677,37,4.16,46.884,265,161,0,0,0,0,0,0,0,0,0
10.1021/acsami.7b00614,6.4,2.85,2,0.3,0.15,0,95.7,0.00104,-2.982966661,1,Combined,Ga,Rb,,61,3,1.81,69.723,31,5.97,29.061,136,62,175,1,0.82,85.4677,37,4.16,46.884,265,161,0,0,0,0,0,0,0,0,0
10.1021/acsami.7b00614,6.3,2.9,2,0.3,0.1,0,95.1,0.00153,-2.815308569,1,Combined,Ga,Rb,,61,3,1.81,69.723,31,5.97,29.061,136,62,175,1,0.82,85.4677,37,4.16,46.884,265,161,0,0,0,0,0,0,0,0,0
10.1021/acsami.7b00614,6.2,2.95,2,0.3,0.05,0,94.6,0.00162,-2.790484985,1,Combined,Ga,Rb,,61,3,1.81,69.723,31,5.97,29.061,136,62,175,1,0.82,85.4677,37,4.16,46.884,265,161,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.05.027,6.8,2.6,2,0.2,0.4,0,,3.03E-05,-4.518557371,0,Combined,Ga,Sr,,61,3,1.81,69.723,31,5.97,29.061,136,62,140,2,0.95,87.6166,38,219,5.023,219,126,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.05.027,6.7,2.7,2,0.2,0.3,0,,0.000195,-3.709965389,0,Combined,Ga,Sr,,61,3,1.81,69.723,31,5.97,29.061,136,62,140,2,0.95,87.6166,38,219,5.023,219,126,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.05.027,6.6,2.8,2,0.2,0.2,0,,0.000346,-3.460923901,1,Combined,Ga,Sr,,61,3,1.81,69.723,31,5.97,29.061,136,62,140,2,0.95,87.6166,38,219,5.023,219,126,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.05.027,6.5,2.9,2,0.2,0.1,0,,0.00055,-3.259637311,1,Combined,Ga,Sr,,61,3,1.81,69.723,31,5.97,29.061,136,62,140,2,0.95,87.6166,38,219,5.023,219,126,0,0,0,0,0,0,0,0,0
10.1016/j.jallcom.2019.04.274,6.66,2.94,2,0,0.06,0,91.3,3.67E-05,-4.435333936,0,La site,,Sr,,0,0,0,0,0,0,0,0,0,140,2,0.95,87.6166,38,219,5.023,219,126,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2018.04.016,6.58,3,1.96,0.32,0,0,90,0.000245,-3.610833916,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,87.9,1.54E-05,-4.812479279,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,92,2.8E-05,-4.552841969,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,87.5,8.78E-05,-4.056505484,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,94,0.000132,-3.879426069,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,91.2,0.00021,-3.677780705,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jeurceramsoc.2018.06.014,6.16,3,2,0.28,0,0,,1.92E-05,-4.716698771,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2017.12.034,6.23,3,1.88,0.26,0,0,91.2,0.00025,-3.602059991,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jechem.2017.10.006,6.25,3,2,0.25,0,0,,9.9E-05,-4.004364805,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.9b21251,6.25,3,2,0.25,0,0,95,0.000441,-3.355561411,1,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1002/aenm.201600736,6.25,3,2,0.25,0,0,87,0.0005,-3.301029996,1,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.5b12186,6.27,3,1.96,0.25,0,0,96,0.000448,-3.348721986,1,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.matdes.2017.10.067,6.15,3,2,0.25,0,0,93,0.000124,-3.906578315,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,85.4,0.00011,-3.958607315,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,90.1,0.00022,-3.657577319,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,83.2,0.00026,-3.585026652,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,89.2,0.00028,-3.552841969,1,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2018.06.096,6.28,3,2,0.24,0,0,,0.000354,-3.450996738,1,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1088/2053-1591/ab62ef,6.28,3,2,0.24,0,0,89.3,0.000106,-3.974694135,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1073/pnas.1600422113,6.4,3,2,0.2,0,0,,0.00025,-3.602059991,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s10904-018-0859-y,6.4,3,2,0.2,0,0,,0.000115,-3.93930216,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.matdes.2017.10.067,6.4,3,2,0.2,0,0,96,9.6E-05,-4.017728767,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2018.04.016,7.05,3,1.98,0.16,0,0,90,0.000221,-3.655607726,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2018.04.016,7.42,3,1.97,0.14,0,0,90,0.000189,-3.723538196,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jtice.2018.02.021,6.61,3,2,0.13,0,0,94,0.000135,-3.869666232,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2018.04.016,6.91,3,1.98,0.13,0,0,93,0.000208,-3.681936665,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.matdes.2017.10.067,6.7,3,2,0.1,0,0,93,0.000141,-3.850780887,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.matdes.2017.10.067,6.85,3,2,0.05,0,0,94,9.9E-05,-4.004364805,0,Li site,Al,,,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s11581-020-03580-y,6.4,3,2,0.2,0,0,95.6,0.000428,-3.368556231,1,Li site,Fe,,,63,3,1.83,55.8451,26,7.9,15.7,126,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acs.jpcc.7b12387,6.4,3,2,0.2,0,0,90,0.0011,-2.958607315,1,Li site,Fe,,,63,3,1.83,55.8451,26,7.9,15.7,126,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jallcom.2016.11.277,5.5,3,2,0.5,0,0,,5.81E-05,-4.235823868,0,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,5.8,3,2,0.4,0,0,92.8,0.00057,-3.244125144,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,5.95,3,2,0.35,0,0,95.1,0.00071,-3.148741651,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/cm5008069,6.1,3,2,0.3,0,0,94,7E-05,-4.15490196,0,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,6.1,3,2,0.3,0,0,96.3,0.00112,-2.950781977,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.7b00614,6.1,3,2,0.3,0,0,96.3,0.00112,-2.950781977,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,6.25,3,2,0.25,0,0,94.1,0.00146,-2.835647144,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s10008-019-04225-5,6.25,3,2,0.25,0,0,,0.0011,-2.958607315,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.matchemphys.2012.03.054,6.25,3,2,0.25,0,0,91,0.00035,-3.455931956,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/cm5008069,6.4,3,2,0.2,0,0,94,0.0009,-3.045757491,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1088/2053-1591/ab2799,6.23,3,2,0.2,0,0,95.5,0.00072,-3.142667504,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1088/2053-1591/ab2799,6.91,3,2,0.2,0,0,95,0.00043,-3.366531544,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1088/2053-1591/ab2801,6.79,3,2,0.2,0,0,94.5,0.0008,-3.096910013,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1088/2053-1591/ab2801,6.55,3,2,0.2,0,0,94.2,0.00109,-2.962573502,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1088/2053-1591/ab2801,6.28,3,2,0.2,0,0,94,0.00074,-3.13076828,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,6.3,3,2,0.2,0,0,93.4,0.00087,-3.060480747,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s10008-019-04225-5,6.4,3,2,0.2,0,0,,0.0015,-2.823908741,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2019.04.236,6.4,3,2,0.2,0,0,97.3,0.00124,-2.906578315,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.05.027,6.4,3,2,0.2,0,0,,0.000458,-3.339134522,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/cm5008069,6.55,3,2,0.15,0,0,94,0.0013,-2.886056648,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1142/S1793604718500297,6.55,3,2,0.15,0,0,90.5,0.00113,-2.946921557,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1142/S1793604718500297,6.55,3,2,0.15,0,0,97.5,0.000458,-3.339134522,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,6.55,3,2,0.15,0,0,89.6,8.5E-05,-4.070581074,0,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1063/1.5019179,6.55,3,2,0.15,0,0,,0.00206,-2.68613278,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s10008-019-04225-5,6.55,3,2,0.15,0,0,,0.00047,-3.327902142,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acs.chemmater.8b00486,6.55,3,2,0.15,0,0,90,0.0012,-2.920818754,1,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsami.6b13902,6.7,3,2,0.1,0,0,86.7,2.5E-05,-4.602059991,0,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s10008-019-04225-5,6.7,3,2,0.1,0,0,,6E-05,-4.22184875,0,Li site,Ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.04.021,6.4,3,2,0.15,0,0,,8.05E-05,-4.09420412,0,Li site,Ge,,,53,4,2.01,72.6298,32,7.85,118.9352,125,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.04.021,6.6,3,2,0.1,0,0,98,0.00028,-3.552841969,1,Li site,Ge,,,53,4,2.01,72.6298,32,7.85,118.9352,125,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2019.04.021,6.8,3,2,0.05,0,0,,2.91E-05,-4.536107011,0,Li site,Ge,,,53,4,2.01,72.6298,32,7.85,118.9352,125,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1039/c9ta00417c,7,3,2,0,0,0,96.7,0.00024,-3.619788758,0,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1002/anie.200701144 [thin pellet],7,3,2,0,0,0,92,0.000774,-3.111259039,1,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2018.01.065,7,3,2,0,0,0,87.7,0.000187,-3.728158393,0,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/jace.14736,7,3,2,0,0,0,88.7,2.6E-05,-4.585026652,0,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.matlet.2018.08.006,7,3,2,0,0,0,84.6,0.0001,-4,0,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.jpowsour.2013.10.089,6.85,3.09,2.07,0,0,0,,0.000168,-3.774690718,0,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ssi.2017.11.027,7,3,2,0,0,0,,7.83E-06,-5.106238238,0,Pure,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
