source,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1016/j.jpowsour.2010.11.089,6.75,3,1.75,0,0,0.25,90,0.0008,-3.096910013,1,Zr site,,,Nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1039/C9SE01162E,6.8,3,1.8,0,0,0.2,88.4,0.000357,-3.447331784,1,Zr site,,,Nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1080/10667857.2016.1196033,7,3,1.6,0,0,0.4,,0.000256,-3.591760035,0,Zr site,,,Ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,2.2,101.0649,44,7.5,100.96,178,62
10.1016/j.jallcom.2019.04.274,6.8,2.8,1.6,0,0.2,0.4,92.7,0.000172,-3.764471553,0,Combined,,Sr,Sb,0,0,0,0,0,0,0,0,0,140,2,0.95,87.6166,38,219,5.023,219,126,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.jallcom.2019.04.274,6.75,2.85,1.6,0,0.15,0.4,93.9,0.000485,-3.314258261,1,Combined,,Sr,Sb,0,0,0,0,0,0,0,0,0,140,2,0.95,87.6166,38,219,5.023,219,126,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.jallcom.2019.04.274,6.7,2.9,1.6,0,0.1,0.4,94.3,0.000533,-3.273272791,1,Combined,,Sr,Sb,0,0,0,0,0,0,0,0,0,140,2,0.95,87.6166,38,219,5.023,219,126,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.jallcom.2019.04.274,6.66,2.94,1.6,0,0.06,0.4,95.1,0.000883,-3.054039296,1,Combined,,Sr,Sb,0,0,0,0,0,0,0,0,0,140,2,0.95,87.6166,38,219,5.023,219,126,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.jallcom.2019.04.274,6.62,2.98,1.6,0,0.02,0.4,92.6,0.000363,-3.440093375,1,Combined,,Sr,Sb,0,0,0,0,0,0,0,0,0,140,2,0.95,87.6166,38,219,5.023,219,126,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.ceramint.2017.10.072,6.625,3,1.925,0.1,0,0.075,91.6,0.000235,-3.628932138,0,Combined,Al,,Sb,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.ceramint.2017.10.072,6.7,3,1.925,0.075,0,0.075,95.5,0.000345,-3.462180905,1,Combined,Al,,Sb,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.ceramint.2017.10.072,6.775,3,1.925,0.05,0,0.075,96.7,0.00041,-3.387216143,1,Combined,Al,,Sb,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1039/c3cp50991e,6,3,1,0,0,1,86,0.00026,-3.585026652,0,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1039/c3cp50991e,6.2,3,1.2,0,0,0.8,84,0.00045,-3.346787486,1,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1039/c3cp50991e,6.4,3,1.4,0,0,0.6,89,0.00066,-3.180456064,1,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1039/c3cp50991e,6.6,3,1.6,0,0,0.4,91,0.00077,-3.113509275,1,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.jallcom.2019.04.274,6.6,3,1.6,0,0,0.4,89.9,0.00011,-3.958607315,0,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1039/c3cp50991e,6.8,3,1.8,0,0,0.2,78,5.9E-05,-4.229147988,0,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.3724/SP.J.1077.2013.13428,6.925,3,1.925,0,0,0.075,,0.00034,-3.468521083,1,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.ceramint.2017.10.072,6.925,3,1.925,0,0,0.075,92.3,0.000265,-3.576754126,0,Zr site,,,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,2.05,121.7598,51,8.35,101.059,133,60
