source,Publication year,T of the conductivity C,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1007/s11581-021-03919-z,,,6.925,2.95,1.925,0,0.05,0.075,95.1,0.00032,-3.494850022,,Combined,,y,sb,0,0,0,0,0,0,0,0,0,104,3,1.22,151.9644,63,6.217,11.2,231,90,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1007/s11581-021-03919-z,,,6.925,2.925,1.925,0,0.075,0.075,93.34,0.000235,-3.628932138,,Combined,,y,sb,0,0,0,0,0,0,0,0,0,104,3,1.22,151.9644,63,6.217,11.2,231,90,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1007/s11581-021-03919-z,,,6.925,2.9,1.925,0,0.1,0.075,91.85,0.000163,-3.787812396,,Combined,,y,sb,0,0,0,0,0,0,0,0,0,104,3,1.22,151.9644,63,6.217,11.2,231,90,74,5,2.05,121.7598,51,8.35,101.059,133,60
10.1016/j.ceramint.2021.03.138,,,6.5,3,1.5,0,0,0.5,87.3,0.000231,-3.63638802,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1016/j.ceramint.2021.03.138,,,6.5,3,1.5,0,0,0.5,90.6,0.000343,-3.46470588,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1016/j.ceramint.2021.03.138,,,6.5,3,1.5,0,0,0.5,90.9,0.00031,-3.508638306,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1016/j.ceramint.2021.03.138,,,6.5,3,1.5,0,0,0.5,91.1,0.00025,-3.602059991,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1016/j.ceramint.2021.03.138,,,6.5,3,1.5,0,0,0.5,92.5,0.000428,-3.368556231,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1021/acsomega.2c06544,,,6.4,3,1.4,0,0,0.6,73.7,1.02E-05,-4.991399828,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.4,0,0,0.6,78.3,9.36E-05,-4.028724151,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.4,0,0,0.6,74.5,1.69E-05,-4.772113295,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.4,0,0,0.6,80.3,0.000204,-3.690369833,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,2,0.2,0,0,86.8,2.43E-05,-4.614393726,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
